#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AGO2	KPNA2	9606.ENSP00000220592	9606.ENSP00000438483	0	0	0	0	0.070	0	0.500	0.144	0.567
AGO2	H2BU1	9606.ENSP00000220592	9606.ENSP00000479284	0	0.004	0	0	0.049	0	0.500	0.171	0.571
AGO2	PUM1	9606.ENSP00000220592	9606.ENSP00000391723	0	0	0	0	0.178	0.218	0	0.494	0.646
AGO2	YTHDF2	9606.ENSP00000220592	9606.ENSP00000444660	0	0	0	0	0.067	0.190	0	0.585	0.659
AGO2	EDC3	9606.ENSP00000220592	9606.ENSP00000497737	0	0	0	0	0.058	0.229	0	0.575	0.664
AGO2	IGF2BP1	9606.ENSP00000220592	9606.ENSP00000290341	0	0	0	0	0.057	0.427	0	0.449	0.677
AGO2	CTR9	9606.ENSP00000220592	9606.ENSP00000355013	0	0	0	0	0.067	0.292	0	0.643	0.744
AGO2	POP7	9606.ENSP00000220592	9606.ENSP00000304353	0	0	0	0	0.049	0	0.900	0	0.900
AGO2	RNMT	9606.ENSP00000220592	9606.ENSP00000466111	0	0	0	0	0.063	0	0.900	0.065	0.904
AGO2	CLP1	9606.ENSP00000220592	9606.ENSP00000434995	0	0	0	0	0	0	0.900	0.210	0.917
AGO2	NCBP2	9606.ENSP00000220592	9606.ENSP00000326806	0	0	0	0	0.049	0	0.900	0.253	0.922
AGO2	MOV10	9606.ENSP00000220592	9606.ENSP00000399797	0	0	0	0	0.053	0.608	0.400	0.990	0.997
AGO2	GEMIN4	9606.ENSP00000220592	9606.ENSP00000321706	0	0	0	0	0.055	0.735	0	0.997	0.999
AGO2	DDX20	9606.ENSP00000220592	9606.ENSP00000358716	0	0	0	0	0.049	0.647	0	0.998	0.999
AHR	ARNT	9606.ENSP00000242057	9606.ENSP00000351407	0	0	0	0.554	0.109	0.996	0.800	0.495	0.999
AK6	IMP4	9606.ENSP00000370201	9606.ENSP00000259239	0	0	0	0	0.522	0	0	0.052	0.528
AK6	WDR12	9606.ENSP00000370201	9606.ENSP00000261015	0	0	0	0	0.482	0	0	0.060	0.493
AK6	DCK	9606.ENSP00000370201	9606.ENSP00000286648	0	0	0	0	0.056	0	0.900	0	0.901
AK6	RRM1	9606.ENSP00000370201	9606.ENSP00000300738	0	0	0	0	0.215	0	0.930	0	0.942
AK6	POLR2H	9606.ENSP00000370201	9606.ENSP00000415536	0	0	0	0	0.547	0	0	0	0.547
ALKBH5	TRMT6	9606.ENSP00000382091	9606.ENSP00000203001	0	0	0	0	0.070	0	0	0.486	0.502
ALKBH5	IGF2BP3	9606.ENSP00000382091	9606.ENSP00000258729	0	0	0	0	0.042	0	0	0.721	0.721
ALKBH5	IGF2BP1	9606.ENSP00000382091	9606.ENSP00000290341	0	0	0	0	0.042	0	0	0.848	0.848
ALKBH5	VIRMA	9606.ENSP00000382091	9606.ENSP00000297591	0	0	0	0	0.055	0	0	0.892	0.894
ALKBH5	NSUN5	9606.ENSP00000382091	9606.ENSP00000309126	0	0	0	0	0.050	0	0	0.410	0.415
ALKBH5	METTL14	9606.ENSP00000382091	9606.ENSP00000373474	0	0	0	0	0.133	0	0	0.952	0.956
ALKBH5	YTHDF2	9606.ENSP00000382091	9606.ENSP00000444660	0	0	0	0	0.049	0	0	0.904	0.905
ANAPC2	RPAP3	9606.ENSP00000314004	9606.ENSP00000005386	0	0	0	0	0.154	0.360	0	0.091	0.465
ANAPC2	MAD2L1	9606.ENSP00000314004	9606.ENSP00000296509	0	0	0	0	0.058	0.866	0.650	0.395	0.969
ANAPC2	KLC1	9606.ENSP00000314004	9606.ENSP00000414982	0	0	0	0	0.062	0.379	0	0.091	0.425
ANAPC2	CTR9	9606.ENSP00000314004	9606.ENSP00000355013	0	0	0	0	0.144	0.287	0	0.138	0.428
ANAPC2	PYCR2	9606.ENSP00000314004	9606.ENSP00000342502	0	0	0	0	0.062	0.431	0	0.050	0.448
ANAPC2	PYCR1	9606.ENSP00000314004	9606.ENSP00000384949	0	0	0	0	0.048	0.464	0	0.050	0.472
ANAPC2	KLC2	9606.ENSP00000314004	9606.ENSP00000399403	0	0	0	0	0.163	0.378	0	0.091	0.486
ANAPC2	UBE2D1	9606.ENSP00000314004	9606.ENSP00000363019	0	0	0	0	0.057	0.099	0.800	0.165	0.839
ANAPC2	CDC16	9606.ENSP00000314004	9606.ENSP00000348554	0	0	0	0	0.103	0.999	0.900	0.924	0.999
ANKLE2	VRK1	9606.ENSP00000350686	9606.ENSP00000216639	0	0	0	0	0.075	0.114	0.700	0.713	0.920
ANKLE2	NUP37	9606.ENSP00000350686	9606.ENSP00000448054	0	0	0	0	0.081	0.060	0	0.447	0.481
AP1S2	VAMP8	9606.ENSP00000500695	9606.ENSP00000263864	0	0	0	0	0.043	0	0.500	0.051	0.506
AP1S2	PIK3C2A	9606.ENSP00000500695	9606.ENSP00000265970	0	0	0	0	0.055	0	0.500	0.131	0.553
AP1S2	BLOC1S4	9606.ENSP00000500695	9606.ENSP00000318128	0	0	0	0	0	0	0.500	0	0.499
AP1S2	DNM1	9606.ENSP00000500695	9606.ENSP00000362014	0	0	0	0	0.045	0	0.500	0.203	0.586
AP1S2	HLA-G	9606.ENSP00000500695	9606.ENSP00000366024	0	0	0	0	0.042	0	0.650	0	0.650
AP1S2	PUM1	9606.ENSP00000500695	9606.ENSP00000391723	0	0	0	0	0.067	0.089	0.500	0.120	0.576
APAF1	TRAF2	9606.ENSP00000448165	9606.ENSP00000247668	0	0	0	0	0.049	0.053	0	0.429	0.441
APAF1	IKBIP	9606.ENSP00000448165	9606.ENSP00000299157	0	0	0	0	0.092	0	0	0.629	0.649
APAF1	XIAP	9606.ENSP00000448165	9606.ENSP00000360242	0	0	0	0	0.162	0.547	0.500	0.895	0.977
APAF1	GPX8	9606.ENSP00000448165	9606.ENSP00000423822	0	0	0	0	0	0	0	0.444	0.444
ARHGEF11	TRMT61A	9606.ENSP00000357177	9606.ENSP00000374399	0	0	0	0	0	0.473	0	0	0.473
ARID1A	MSH6	9606.ENSP00000320485	9606.ENSP00000234420	0	0	0	0	0.099	0	0	0.709	0.726
ARID1A	SMAD2	9606.ENSP00000320485	9606.ENSP00000262160	0	0	0	0	0.118	0.294	0	0.237	0.484
ARID1A	BRD4	9606.ENSP00000320485	9606.ENSP00000263377	0	0	0	0	0.535	0	0	0.625	0.818
ARID1A	PPP2R1B	9606.ENSP00000320485	9606.ENSP00000311344	0	0	0	0	0.054	0	0	0.411	0.418
ARID1A	PRKD2	9606.ENSP00000320485	9606.ENSP00000393978	0	0	0	0	0.055	0	0	0.448	0.456
ARID1A	TLE3	9606.ENSP00000320485	9606.ENSP00000452871	0	0	0	0	0.125	0	0	0.448	0.496
ARID1A	SIN3A	9606.ENSP00000320485	9606.ENSP00000378402	0	0	0	0	0.253	0.095	0	0.316	0.497
ARID1A	MDC1	9606.ENSP00000320485	9606.ENSP00000365588	0	0	0	0	0.078	0.454	0	0.179	0.551
ARID1A	TP53BP1	9606.ENSP00000320485	9606.ENSP00000371475	0	0	0	0	0.057	0.330	0	0.543	0.686
ARID1A	BCL7C	9606.ENSP00000320485	9606.ENSP00000369674	0	0	0	0	0	0.867	0.900	0.678	0.995
ARIH1	UBE2R2	9606.ENSP00000369217	9606.ENSP00000263228	0	0	0	0	0.050	0.115	0	0.418	0.468
ARIH1	KLHL22	9606.ENSP00000369217	9606.ENSP00000331682	0	0	0	0	0.059	0.292	0	0.175	0.402
ARIH1	UBE2D1	9606.ENSP00000369217	9606.ENSP00000363019	0	0	0	0	0.071	0.755	0	0.678	0.920
ARIH1	RBM26	9606.ENSP00000369217	9606.ENSP00000483408	0	0	0	0	0.195	0.292	0	0	0.406
ARL6IP6	KLC2	9606.ENSP00000315357	9606.ENSP00000399403	0	0	0	0	0	0.420	0	0	0.420
ARNT	BCAT1	9606.ENSP00000351407	9606.ENSP00000443459	0	0	0	0	0.042	0.366	0	0.148	0.437
ARNT	P4HA2	9606.ENSP00000351407	9606.ENSP00000384999	0	0	0	0	0.049	0	0	0.630	0.633
ATG4B	GOSR1	9606.ENSP00000384259	9606.ENSP00000225724	0	0	0	0	0.060	0	0	0.619	0.626
ATG4B	STK26	9606.ENSP00000384259	9606.ENSP00000377867	0	0	0	0	0.118	0	0	0.371	0.421
B3GALT6	SDC2	9606.ENSP00000368496	9606.ENSP00000307046	0	0	0	0	0	0	0.400	0.322	0.575
B3GALT6	HS2ST1	9606.ENSP00000368496	9606.ENSP00000359581	0	0	0	0	0.080	0	0	0.441	0.464
B3GALT6	GPC3	9606.ENSP00000368496	9606.ENSP00000377836	0	0	0	0	0	0	0.400	0.210	0.506
B3GALT6	SLC35B2	9606.ENSP00000368496	9606.ENSP00000377401	0	0	0	0	0.066	0	0	0.542	0.554
B4GALT1	GALNT1	9606.ENSP00000369055	9606.ENSP00000269195	0	0	0	0	0.068	0	0	0.395	0.412
B4GALT1	COG7	9606.ENSP00000369055	9606.ENSP00000305442	0	0	0	0	0	0	0	0.533	0.533
BCL7C	CAP2	9606.ENSP00000369674	9606.ENSP00000229922	0	0	0	0	0	0.623	0	0	0.623
BCL7C	BRD2	9606.ENSP00000369674	9606.ENSP00000378702	0	0	0	0	0	0.421	0	0.072	0.439
BCL7C	KPNA2	9606.ENSP00000369674	9606.ENSP00000438483	0	0	0	0	0.053	0.533	0	0.181	0.606
BLOC1S4	VAMP8	9606.ENSP00000318128	9606.ENSP00000263864	0	0	0	0	0.044	0	0.500	0.052	0.507
BLOC1S4	PIK3C2A	9606.ENSP00000318128	9606.ENSP00000265970	0	0	0	0	0	0	0.500	0	0.499
BOD1L1	ZNF638	9606.ENSP00000040738	9606.ENSP00000386433	0	0	0	0	0.325	0.045	0	0.272	0.489
BOD1L1	MDK	9606.ENSP00000040738	9606.ENSP00000385451	0	0	0	0	0	0.536	0	0	0.536
BRD2	RFC2	9606.ENSP00000378702	9606.ENSP00000055077	0	0	0	0	0.056	0.421	0	0	0.430
BRD2	BRD4	9606.ENSP00000378702	9606.ENSP00000263377	0	0	0.058	0.921	0.122	0.803	0	0.794	0.961
BRD2	SNIP1	9606.ENSP00000378702	9606.ENSP00000296215	0	0	0	0	0.072	0.421	0	0	0.439
BRD2	MEPCE	9606.ENSP00000378702	9606.ENSP00000308546	0	0	0	0	0.108	0.421	0	0.187	0.543
BRD2	TAF7	9606.ENSP00000378702	9606.ENSP00000312709	0	0	0	0	0.044	0.781	0	0.215	0.821
BRD2	PRPF4B	9606.ENSP00000378702	9606.ENSP00000337194	0	0	0	0	0.059	0.606	0	0.089	0.633
BRD2	TRIM24	9606.ENSP00000378702	9606.ENSP00000340507	0	0	0	0.554	0.049	0.421	0	0.254	0.553
BRD2	LYAR	9606.ENSP00000378702	9606.ENSP00000345917	0	0	0	0	0.055	0.421	0	0.236	0.546
BRD2	NKAP	9606.ENSP00000378702	9606.ENSP00000360464	0	0	0	0	0.055	0.421	0	0	0.429
BRD2	DMAP1	9606.ENSP00000378702	9606.ENSP00000361363	0	0	0	0	0.064	0.373	0	0.253	0.523
BRD2	TAF8	9606.ENSP00000378702	9606.ENSP00000362068	0	0	0	0	0.047	0.631	0	0.161	0.679
BRD2	RFC3	9606.ENSP00000378702	9606.ENSP00000369411	0	0	0	0	0.054	0.421	0	0.055	0.437
BRD2	RFC4	9606.ENSP00000378702	9606.ENSP00000376272	0	0	0	0	0.056	0.421	0	0	0.430
BRD2	HDAC2	9606.ENSP00000378702	9606.ENSP00000430432	0	0	0	0	0.067	0.071	0	0.428	0.462
BRD2	DDX24	9606.ENSP00000378702	9606.ENSP00000481495	0	0	0	0	0.104	0.439	0	0.121	0.519
BRD2	JMJD6	9606.ENSP00000378702	9606.ENSP00000394085	0	0	0	0	0.049	0.383	0	0.681	0.796
BRD4	RFC2	9606.ENSP00000263377	9606.ENSP00000055077	0	0	0	0	0.073	0.718	0	0.114	0.748
BRD4	MCM5	9606.ENSP00000263377	9606.ENSP00000216122	0	0	0	0	0.077	0.510	0	0.161	0.587
BRD4	VRK1	9606.ENSP00000263377	9606.ENSP00000216639	0	0	0	0	0.070	0.510	0	0.117	0.562
BRD4	PAF1	9606.ENSP00000263377	9606.ENSP00000221265	0	0	0	0	0.071	0.510	0	0.084	0.547
BRD4	MSH6	9606.ENSP00000263377	9606.ENSP00000234420	0	0	0	0	0.067	0.625	0	0.159	0.680
BRD4	RNF114	9606.ENSP00000263377	9606.ENSP00000244061	0	0	0	0	0.054	0.292	0	0.347	0.524
BRD4	PPIL4	9606.ENSP00000263377	9606.ENSP00000253329	0	0	0	0	0.056	0.510	0	0	0.517
BRD4	CDK7	9606.ENSP00000263377	9606.ENSP00000256443	0	0	0	0	0.056	0.292	0	0.938	0.954
BRD4	INTS13	9606.ENSP00000263377	9606.ENSP00000261191	0	0	0	0	0.058	0.510	0	0	0.518
BRD4	SMAD2	9606.ENSP00000263377	9606.ENSP00000262160	0	0	0	0	0.049	0	0	0.585	0.588
BRD4	RCOR1	9606.ENSP00000263377	9606.ENSP00000262241	0	0	0	0	0.091	0.292	0	0.284	0.499
BRD4	LYAR	9606.ENSP00000263377	9606.ENSP00000345917	0	0	0	0	0.074	0.292	0	0.174	0.411
BRD4	HAT1	9606.ENSP00000263377	9606.ENSP00000264108	0	0	0	0	0.058	0.292	0	0.216	0.431
BRD4	CHD1L	9606.ENSP00000263377	9606.ENSP00000358262	0	0	0	0	0.076	0.354	0	0.144	0.445
BRD4	IWS1	9606.ENSP00000263377	9606.ENSP00000295321	0	0	0	0	0.098	0.292	0	0.217	0.456
BRD4	H2BU1	9606.ENSP00000263377	9606.ENSP00000479284	0	0	0	0	0	0.334	0	0.251	0.480
BRD4	WDR36	9606.ENSP00000263377	9606.ENSP00000423067	0	0	0	0	0.054	0.510	0	0	0.516
BRD4	POLR2H	9606.ENSP00000263377	9606.ENSP00000415536	0	0	0	0	0.054	0.510	0	0	0.516
BRD4	RRS1	9606.ENSP00000263377	9606.ENSP00000322396	0	0	0	0	0.058	0.510	0	0	0.518
BRD4	TBL3	9606.ENSP00000263377	9606.ENSP00000454836	0	0	0	0	0.061	0.510	0	0	0.520
BRD4	MFAP1	9606.ENSP00000263377	9606.ENSP00000267812	0	0	0	0	0.067	0.510	0	0	0.523
BRD4	DNAJC9	9606.ENSP00000263377	9606.ENSP00000362041	0	0	0	0	0.067	0.510	0	0	0.523
BRD4	SIN3A	9606.ENSP00000263377	9606.ENSP00000378402	0	0	0	0	0.108	0.305	0	0.293	0.524
BRD4	CFDP1	9606.ENSP00000263377	9606.ENSP00000283882	0	0	0	0	0.076	0.402	0	0.207	0.524
BRD4	NVL	9606.ENSP00000263377	9606.ENSP00000281701	0	0	0	0	0.054	0.510	0	0.073	0.532
BRD4	MCM6	9606.ENSP00000263377	9606.ENSP00000264156	0	0	0	0	0.067	0.510	0	0.059	0.532
BRD4	GTF2B	9606.ENSP00000263377	9606.ENSP00000359531	0	0	0	0	0.056	0.292	0	0.376	0.547
BRD4	MCM2	9606.ENSP00000263377	9606.ENSP00000265056	0	0	0	0	0.067	0.535	0	0	0.548
BRD4	XIAP	9606.ENSP00000263377	9606.ENSP00000360242	0	0	0	0	0.049	0	0	0.550	0.553
BRD4	NOP10	9606.ENSP00000263377	9606.ENSP00000332198	0	0	0	0	0.054	0	0	0.555	0.561
BRD4	MDC1	9606.ENSP00000263377	9606.ENSP00000365588	0	0	0	0	0.054	0.510	0	0.178	0.585
BRD4	VIRMA	9606.ENSP00000263377	9606.ENSP00000297591	0	0	0	0	0.056	0.510	0	0.199	0.597
BRD4	CTR9	9606.ENSP00000263377	9606.ENSP00000355013	0	0	0	0	0.083	0.510	0	0.207	0.612
BRD4	RRP1B	9606.ENSP00000263377	9606.ENSP00000339145	0	0	0	0	0.064	0.510	0	0.266	0.633
BRD4	SMC4	9606.ENSP00000263377	9606.ENSP00000341382	0	0	0	0	0.056	0.525	0	0.252	0.635
BRD4	TP53BP1	9606.ENSP00000263377	9606.ENSP00000371475	0	0	0	0	0.062	0.073	0	0.684	0.701
BRD4	RFC5	9606.ENSP00000263377	9606.ENSP00000408295	0	0	0	0	0.068	0.701	0	0.069	0.718
BRD4	TAF7	9606.ENSP00000263377	9606.ENSP00000312709	0	0	0	0	0	0.607	0	0.314	0.719
BRD4	RTF1	9606.ENSP00000263377	9606.ENSP00000374280	0	0	0	0	0.166	0.633	0	0.173	0.725
BRD4	HDAC2	9606.ENSP00000263377	9606.ENSP00000430432	0	0	0	0	0.081	0.525	0	0.482	0.754
BRD4	SMC2	9606.ENSP00000263377	9606.ENSP00000286398	0	0	0	0	0.058	0.525	0	0.514	0.764
BRD4	RFC1	9606.ENSP00000263377	9606.ENSP00000371321	0	0	0	0	0.058	0.738	0	0.138	0.768
BRD4	RFC3	9606.ENSP00000263377	9606.ENSP00000369411	0	0	0	0	0.063	0.778	0	0	0.783
BRD4	RFC4	9606.ENSP00000263377	9606.ENSP00000376272	0	0	0	0	0.058	0.787	0	0.050	0.792
BRD4	MEPCE	9606.ENSP00000263377	9606.ENSP00000308546	0	0	0	0	0.072	0.292	0	0.744	0.817
BRD4	HTATSF1	9606.ENSP00000263377	9606.ENSP00000442699	0	0	0	0	0.078	0.292	0	0.790	0.851
BRD4	DMAP1	9606.ENSP00000263377	9606.ENSP00000361363	0	0	0	0	0.063	0.807	0	0.299	0.862
BRD4	JMJD6	9606.ENSP00000263377	9606.ENSP00000394085	0	0	0	0	0.049	0.984	0	0.979	0.999
BTAF1	CHD1L	9606.ENSP00000265990	9606.ENSP00000358262	0	0	0.195	0.649	0.081	0.298	0	0.094	0.467
BTAF1	TAF7	9606.ENSP00000265990	9606.ENSP00000312709	0	0	0	0	0.078	0	0	0.509	0.528
BTAF1	NCBP2	9606.ENSP00000265990	9606.ENSP00000326806	0	0	0	0	0.054	0.094	0	0.518	0.550
BTAF1	GTF2B	9606.ENSP00000265990	9606.ENSP00000359531	0	0	0	0	0.056	0.127	0	0.743	0.769
BTAF1	DR1	9606.ENSP00000265990	9606.ENSP00000359295	0	0	0	0	0.062	0.849	0	0.712	0.955
BTK	TRAF2	9606.ENSP00000483570	9606.ENSP00000247668	0	0	0	0	0.069	0.090	0.900	0.116	0.915
BTK	TLR8	9606.ENSP00000483570	9606.ENSP00000312082	0	0	0	0	0.323	0.277	0	0.520	0.744
BTK	IRAK1	9606.ENSP00000483570	9606.ENSP00000358997	0	0	0	0.554	0.079	0.299	0	0.880	0.915
BTK	IKBKG	9606.ENSP00000483570	9606.ENSP00000483825	0	0	0	0	0.073	0.072	0.900	0.313	0.932
C17orf75	CHMP5	9606.ENSP00000464275	9606.ENSP00000223500	0	0	0	0	0.103	0.191	0	0.349	0.486
C17orf75	TM9SF1	9606.ENSP00000464275	9606.ENSP00000261789	0	0	0	0	0	0.479	0	0.207	0.569
C17orf75	FAM91A1	9606.ENSP00000464275	9606.ENSP00000335082	0	0	0	0	0.109	0.830	0	0.787	0.965
C17orf75	VPS28	9606.ENSP00000464275	9606.ENSP00000366565	0	0	0	0	0.079	0.311	0	0.349	0.551
C17orf75	TBC1D23	9606.ENSP00000464275	9606.ENSP00000377700	0	0	0	0	0.055	0	0	0.829	0.832
C17orf75	UEVLD	9606.ENSP00000464275	9606.ENSP00000379500	0	0	0	0	0.106	0.071	0	0.349	0.412
CCZ1B	VAMP8	9606.ENSP00000314544	9606.ENSP00000263864	0	0	0	0	0	0	0	0.401	0.401
CD46	CD58	9606.ENSP00000313875	9606.ENSP00000358501	0	0	0	0	0.141	0.047	0	0.559	0.608
CD46	CD9	9606.ENSP00000313875	9606.ENSP00000371958	0	0	0	0	0.117	0.292	0	0.624	0.744
CD46	GOPC	9606.ENSP00000313875	9606.ENSP00000357484	0	0	0	0	0.059	0.045	0	0.890	0.892
CD58	CD9	9606.ENSP00000358501	9606.ENSP00000371958	0	0	0	0	0.143	0	0	0.369	0.436
CD9	TGFB1	9606.ENSP00000371958	9606.ENSP00000221930	0	0	0	0	0.042	0.056	0	0.480	0.488
CD9	MMP14	9606.ENSP00000371958	9606.ENSP00000308208	0	0	0	0	0.119	0.292	0	0.320	0.539
CD9	PODXL	9606.ENSP00000371958	9606.ENSP00000367817	0	0	0	0	0.080	0	0	0.375	0.401
CD9	SPP1	9606.ENSP00000371958	9606.ENSP00000378517	0	0	0	0	0.120	0	0	0.369	0.421
CDC123	CDC16	9606.ENSP00000281141	9606.ENSP00000348554	0	0	0	0	0.063	0	0	0.452	0.465
CDC16	MCM6	9606.ENSP00000348554	9606.ENSP00000264156	0	0	0	0	0.203	0	0	0.307	0.425
CDC16	MAD2L1	9606.ENSP00000348554	9606.ENSP00000296509	0	0	0	0	0.067	0.989	0.650	0.528	0.998
CDC16	WDR33	9606.ENSP00000348554	9606.ENSP00000325377	0	0	0	0	0.103	0.305	0	0.129	0.409
CDC16	PYCR2	9606.ENSP00000348554	9606.ENSP00000342502	0	0	0	0	0.049	0.615	0	0	0.618
CDC16	UEVLD	9606.ENSP00000348554	9606.ENSP00000379500	0	0	0	0	0.067	0	0	0.415	0.431
CDC16	MDC1	9606.ENSP00000348554	9606.ENSP00000365588	0	0	0	0	0.096	0.510	0	0.112	0.572
CDC16	TBC1D23	9606.ENSP00000348554	9606.ENSP00000377700	0	0	0	0	0.049	0	0	0.645	0.648
CDC16	UBE2D1	9606.ENSP00000348554	9606.ENSP00000363019	0	0	0	0	0.074	0.171	0.800	0.301	0.878
CDK7	MEPCE	9606.ENSP00000256443	9606.ENSP00000308546	0	0	0	0	0.067	0	0	0.394	0.411
CDK7	TP53BP1	9606.ENSP00000256443	9606.ENSP00000371475	0	0	0	0	0.058	0	0	0.419	0.429
CDK7	PYCR1	9606.ENSP00000256443	9606.ENSP00000384949	0	0	0	0	0.044	0	0	0.428	0.430
CDK7	POLR1E	9606.ENSP00000256443	9606.ENSP00000367029	0	0	0	0	0.053	0	0.500	0	0.506
CDK7	CHD1L	9606.ENSP00000256443	9606.ENSP00000358262	0	0	0	0	0.055	0	0.500	0.043	0.508
CDK7	POU2F1	9606.ENSP00000256443	9606.ENSP00000356840	0	0	0	0	0.049	0	0.500	0.071	0.520
CDK7	ZNF143	9606.ENSP00000256443	9606.ENSP00000379847	0	0	0	0	0.056	0.045	0.500	0.089	0.534
CDK7	LIG1	9606.ENSP00000256443	9606.ENSP00000263274	0	0	0	0	0.042	0	0.400	0.257	0.536
CDK7	NCBP2	9606.ENSP00000256443	9606.ENSP00000326806	0	0	0	0	0.138	0	0.500	0	0.550
CDK7	MDC1	9606.ENSP00000256443	9606.ENSP00000365588	0	0	0	0	0.055	0	0.500	0.175	0.576
CDK7	HTATSF1	9606.ENSP00000256443	9606.ENSP00000442699	0	0	0	0	0.063	0	0	0.573	0.583
CDK7	RNMT	9606.ENSP00000256443	9606.ENSP00000466111	0	0	0	0	0.139	0	0.500	0.250	0.649
CDK7	HDAC2	9606.ENSP00000256443	9606.ENSP00000430432	0	0	0	0	0.083	0.292	0	0.511	0.654
CDK7	TAF8	9606.ENSP00000256443	9606.ENSP00000362068	0	0	0	0	0.042	0.800	0.500	0.060	0.898
